cluster_id,size,major_topic,major_topic_fraction,top_3_topics
5,290,comp.windows.x,0.24482758620689654,comp.windows.x(71); comp.graphics(68); comp.os.ms-windows.misc(57)
1,223,soc.religion.christian,0.3991031390134529,soc.religion.christian(89); alt.atheism(42); talk.religion.misc(26)
8,167,comp.sys.ibm.pc.hardware,0.3413173652694611,comp.sys.ibm.pc.hardware(57); comp.sys.mac.hardware(38); comp.os.ms-windows.misc(16)
2,139,alt.atheism,0.1510791366906475,alt.atheism(21); talk.politics.mideast(17); talk.politics.misc(16)
11,139,rec.sport.hockey,0.4676258992805755,rec.sport.hockey(65); rec.sport.baseball(65); talk.religion.misc(2)
9,116,talk.politics.mideast,0.47413793103448276,talk.politics.mideast(55); talk.politics.guns(27); talk.politics.misc(6)
7,107,sci.crypt,0.4485981308411215,sci.crypt(48); sci.electronics(15); comp.os.ms-windows.misc(7)
4,101,sci.electronics,0.31683168316831684,sci.electronics(32); rec.motorcycles(22); rec.autos(13)
14,97,rec.autos,0.4948453608247423,rec.autos(48); rec.motorcycles(30); talk.politics.guns(6)
17,77,misc.forsale,0.35064935064935066,misc.forsale(27); rec.autos(11); sci.electronics(7)
13,76,sci.med,0.8289473684210527,sci.med(63); talk.religion.misc(3); sci.crypt(2)
10,74,misc.forsale,0.10810810810810811,misc.forsale(8); comp.windows.x(8); comp.os.ms-windows.misc(8)
19,71,sci.space,0.6901408450704225,sci.space(49); sci.electronics(9); comp.graphics(8)
6,64,rec.motorcycles,0.109375,rec.motorcycles(7); sci.crypt(6); talk.politics.mideast(5)
18,63,talk.politics.misc,0.3333333333333333,talk.politics.misc(21); talk.politics.guns(15); sci.crypt(5)
3,49,talk.politics.misc,0.24489795918367346,talk.politics.misc(12); sci.med(6); comp.os.ms-windows.misc(6)
12,48,sci.electronics,0.1875,sci.electronics(9); misc.forsale(7); comp.sys.ibm.pc.hardware(7)
0,46,rec.motorcycles,0.1956521739130435,rec.motorcycles(9); rec.sport.baseball(5); talk.politics.misc(4)
15,36,sci.electronics,0.1388888888888889,sci.electronics(5); talk.politics.misc(3); comp.graphics(3)
16,17,alt.atheism,0.17647058823529413,alt.atheism(3); rec.motorcycles(2); rec.autos(2)
