cluster_id,size,major_topic,major_topic_fraction,top_3_topics
1,569,rec.motorcycles,0.10896309314586995,rec.motorcycles(62); sci.electronics(42); comp.sys.mac.hardware(39)
2,235,talk.politics.misc,0.22127659574468084,talk.politics.misc(52); talk.politics.guns(42); sci.crypt(23)
4,171,comp.graphics,0.27485380116959063,comp.graphics(47); comp.windows.x(24); comp.os.ms-windows.misc(17)
5,106,soc.religion.christian,0.4339622641509434,soc.religion.christian(46); alt.atheism(26); talk.religion.misc(14)
10,99,sci.electronics,0.30303030303030304,sci.electronics(30); rec.motorcycles(23); sci.space(10)
8,94,comp.windows.x,0.3191489361702128,comp.windows.x(30); comp.os.ms-windows.misc(28); comp.graphics(14)
0,90,talk.politics.mideast,0.7666666666666667,talk.politics.mideast(69); talk.religion.misc(5); talk.politics.guns(5)
3,82,comp.os.ms-windows.misc,0.2682926829268293,comp.os.ms-windows.misc(22); comp.windows.x(21); comp.sys.ibm.pc.hardware(15)
9,70,misc.forsale,0.38571428571428573,misc.forsale(27); sci.electronics(9); comp.sys.ibm.pc.hardware(7)
19,68,rec.sport.hockey,0.9411764705882353,rec.sport.hockey(64); rec.sport.baseball(4)
17,66,sci.med,0.8484848484848485,sci.med(56); talk.politics.guns(3); sci.space(1)
7,65,sci.med,0.12307692307692308,sci.med(8); misc.forsale(7); comp.os.ms-windows.misc(6)
11,63,comp.sys.ibm.pc.hardware,0.42857142857142855,comp.sys.ibm.pc.hardware(27); comp.sys.mac.hardware(14); sci.electronics(9)
6,50,rec.sport.baseball,1.0,rec.sport.baseball(50)
16,44,rec.autos,0.7727272727272727,rec.autos(34); rec.motorcycles(6); misc.forsale(3)
13,40,sci.space,0.975,sci.space(39); rec.sport.baseball(1)
14,36,sci.crypt,0.9166666666666666,sci.crypt(33); sci.electronics(2); rec.sport.baseball(1)
15,25,soc.religion.christian,0.6,soc.religion.christian(15); talk.religion.misc(5); alt.atheism(5)
12,15,talk.politics.misc,0.2,talk.politics.misc(3); comp.sys.mac.hardware(2); comp.graphics(2)
18,12,sci.electronics,0.25,sci.electronics(3); sci.space(2); talk.politics.misc(1)
