cluster_id,size,major_topic,major_topic_fraction,top_3_topics
6,192,alt.atheism,0.22395833333333334,alt.atheism(43); soc.religion.christian(38); talk.politics.misc(25)
15,172,talk.politics.guns,0.20930232558139536,talk.politics.guns(36); sci.crypt(34); sci.space(26)
5,169,comp.sys.mac.hardware,0.23668639053254437,comp.sys.mac.hardware(40); comp.sys.ibm.pc.hardware(39); sci.electronics(30)
9,140,sci.space,0.2785714285714286,sci.space(39); sci.electronics(35); rec.motorcycles(25)
3,127,rec.sport.baseball,0.5118110236220472,rec.sport.baseball(65); rec.sport.hockey(61); sci.space(1)
2,126,comp.windows.x,0.38095238095238093,comp.windows.x(48); comp.os.ms-windows.misc(38); comp.graphics(20)
18,122,rec.motorcycles,0.20491803278688525,rec.motorcycles(25); rec.autos(20); misc.forsale(11)
16,102,comp.os.ms-windows.misc,0.3333333333333333,comp.os.ms-windows.misc(34); comp.windows.x(30); comp.graphics(20)
19,98,talk.politics.mideast,0.17346938775510204,talk.politics.mideast(17); alt.atheism(17); talk.politics.misc(10)
12,94,misc.forsale,0.13829787234042554,misc.forsale(13); sci.electronics(12); sci.space(11)
1,92,comp.graphics,0.16304347826086957,comp.graphics(15); misc.forsale(10); rec.sport.baseball(9)
17,92,rec.sport.baseball,0.20652173913043478,rec.sport.baseball(19); rec.motorcycles(12); talk.politics.guns(9)
13,86,misc.forsale,0.09302325581395349,misc.forsale(8); sci.med(8); rec.motorcycles(7)
11,72,comp.sys.ibm.pc.hardware,0.3888888888888889,comp.sys.ibm.pc.hardware(28); comp.sys.mac.hardware(14); misc.forsale(13)
14,71,talk.politics.mideast,0.8028169014084507,talk.politics.mideast(57); talk.politics.guns(6); talk.politics.misc(4)
10,66,soc.religion.christian,0.6666666666666666,soc.religion.christian(44); talk.religion.misc(10); alt.atheism(9)
7,65,sci.med,0.9538461538461539,sci.med(62); talk.politics.misc(1); sci.space(1)
8,54,talk.politics.misc,0.1111111111111111,talk.politics.misc(6); comp.graphics(6); misc.forsale(6)
0,52,rec.autos,0.7692307692307693,rec.autos(40); rec.motorcycles(9); misc.forsale(3)
4,8,talk.religion.misc,0.25,talk.religion.misc(2); misc.forsale(2); alt.atheism(1)
