cluster_id,size,major_topic,major_topic_fraction,top_3_topics
18,255,misc.forsale,0.10980392156862745,misc.forsale(28); rec.sport.baseball(26); comp.sys.mac.hardware(22)
2,160,talk.politics.misc,0.2375,talk.politics.misc(38); talk.politics.guns(34); rec.motorcycles(32)
6,138,comp.sys.ibm.pc.hardware,0.4057971014492754,comp.sys.ibm.pc.hardware(56); comp.sys.mac.hardware(36); comp.os.ms-windows.misc(17)
7,125,comp.windows.x,0.304,comp.windows.x(38); comp.os.ms-windows.misc(32); comp.graphics(26)
15,117,talk.politics.guns,0.24786324786324787,talk.politics.guns(29); rec.motorcycles(11); rec.sport.baseball(9)
8,112,alt.atheism,0.3125,alt.atheism(35); talk.religion.misc(16); talk.politics.mideast(13)
13,96,comp.windows.x,0.40625,comp.windows.x(39); comp.os.ms-windows.misc(27); comp.graphics(21)
3,95,sci.electronics,0.43157894736842106,sci.electronics(41); rec.motorcycles(14); rec.autos(8)
12,88,comp.graphics,0.26136363636363635,comp.graphics(23); comp.sys.mac.hardware(11); sci.med(10)
1,87,soc.religion.christian,0.42528735632183906,soc.religion.christian(37); alt.atheism(21); talk.religion.misc(12)
10,87,rec.autos,0.6551724137931034,rec.autos(57); rec.motorcycles(25); misc.forsale(3)
4,85,misc.forsale,0.1411764705882353,misc.forsale(12); sci.electronics(10); comp.sys.ibm.pc.hardware(8)
11,83,sci.crypt,0.6265060240963856,sci.crypt(52); sci.electronics(14); comp.os.ms-windows.misc(4)
5,78,sci.space,0.9487179487179487,sci.space(74); talk.religion.misc(1); talk.politics.guns(1)
16,73,sci.med,0.8904109589041096,sci.med(65); talk.politics.misc(3); sci.space(1)
0,69,talk.politics.mideast,0.9420289855072463,talk.politics.mideast(65); alt.atheism(2); comp.graphics(1)
17,68,rec.sport.hockey,0.9852941176470589,rec.sport.hockey(67); rec.sport.baseball(1)
19,66,sci.med,0.12121212121212122,sci.med(8); misc.forsale(7); rec.motorcycles(6)
14,61,soc.religion.christian,0.7377049180327869,soc.religion.christian(45); alt.atheism(8); talk.religion.misc(7)
9,57,rec.sport.baseball,0.9824561403508771,rec.sport.baseball(56); rec.sport.hockey(1)
