cluster_id,size,major_topic,major_topic_fraction,top_3_topics
8,138,soc.religion.christian,0.5434782608695652,soc.religion.christian(75); alt.atheism(36); talk.religion.misc(22)
7,128,rec.autos,0.5390625,rec.autos(69); rec.motorcycles(52); misc.forsale(4)
15,123,talk.politics.misc,0.34959349593495936,talk.politics.misc(43); talk.politics.guns(18); alt.atheism(16)
19,114,comp.sys.ibm.pc.hardware,0.43859649122807015,comp.sys.ibm.pc.hardware(50); comp.sys.mac.hardware(30); comp.os.ms-windows.misc(15)
0,111,talk.politics.guns,0.3333333333333333,talk.politics.guns(37); talk.politics.misc(10); rec.motorcycles(10)
5,111,comp.graphics,0.3783783783783784,comp.graphics(42); comp.sys.mac.hardware(16); comp.os.ms-windows.misc(16)
1,109,soc.religion.christian,0.1834862385321101,soc.religion.christian(20); alt.atheism(16); talk.religion.misc(11)
2,108,comp.windows.x,0.32407407407407407,comp.windows.x(35); comp.os.ms-windows.misc(33); comp.graphics(23)
16,95,sci.crypt,0.4842105263157895,sci.crypt(46); talk.politics.guns(15); talk.politics.misc(7)
17,95,sci.electronics,0.11578947368421053,sci.electronics(11); misc.forsale(8); comp.sys.ibm.pc.hardware(8)
12,94,sci.space,0.8723404255319149,sci.space(82); talk.religion.misc(3); sci.med(2)
9,93,talk.politics.mideast,0.8387096774193549,talk.politics.mideast(78); talk.religion.misc(3); talk.politics.guns(3)
18,93,misc.forsale,0.4838709677419355,misc.forsale(45); comp.sys.mac.hardware(11); comp.sys.ibm.pc.hardware(9)
13,89,comp.windows.x,0.4044943820224719,comp.windows.x(36); comp.os.ms-windows.misc(23); comp.graphics(12)
10,88,sci.med,0.8636363636363636,sci.med(76); talk.politics.misc(3); rec.sport.baseball(2)
3,87,sci.electronics,0.41379310344827586,sci.electronics(36); rec.motorcycles(15); comp.sys.ibm.pc.hardware(10)
11,83,rec.sport.hockey,0.9036144578313253,rec.sport.hockey(75); rec.sport.baseball(8)
14,82,sci.electronics,0.23170731707317074,sci.electronics(19); comp.sys.mac.hardware(11); comp.sys.ibm.pc.hardware(7)
4,81,rec.sport.baseball,0.8888888888888888,rec.sport.baseball(72); rec.sport.hockey(5); rec.motorcycles(1)
6,78,comp.windows.x,0.11538461538461539,comp.windows.x(9); sci.med(8); misc.forsale(7)
