model,layer,k,seed,clusterer,transform,n_features,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,12,20,0,lloyd,l2,768,0.0044727325439453125,0.040653128176927567,3.178525912953285,43.21337186254477,0.36437810668420056,0.3205,0.7463680505752563,38.235740661621094
pretrained,12,20,1,lloyd,l2,768,0.0044727325439453125,0.039318956434726715,3.243583615447008,43.27194331355628,0.37735722922587195,0.36,0.7463680505752563,38.235740661621094
pretrained,12,20,2,lloyd,l2,768,0.0044727325439453125,0.039044998586177826,3.136868534840379,43.08395229848419,0.36829834066116063,0.3315,0.7463680505752563,38.235740661621094
pretrained,12,20,3,lloyd,l2,768,0.0044727325439453125,0.0332428403198719,3.2006966061079503,43.10086689418217,0.36815161520693857,0.334,0.7463680505752563,38.235740661621094
pretrained,12,20,4,lloyd,l2,768,0.0044727325439453125,0.03846995532512665,3.2027997132568222,43.19051005901971,0.3625050686849835,0.3425,0.7463680505752563,38.235740661621094
pretrained,12,20,0,spherical,l2,768,0.0044727325439453125,0.04147952049970627,3.2651962858657244,43.06960109038951,0.36038540405025266,0.325,0.7463680505752563,38.235740661621094
pretrained,12,20,1,spherical,l2,768,0.0044727325439453125,0.03748387098312378,3.1834837320376765,42.866844871587,0.3541520914390614,0.305,0.7463680505752563,38.235740661621094
pretrained,12,20,2,spherical,l2,768,0.0044727325439453125,0.04303305223584175,3.193607021977686,43.24788357962321,0.3716754903872718,0.3325,0.7463680505752563,38.235740661621094
pretrained,12,20,3,spherical,l2,768,0.0044727325439453125,0.035662390291690826,3.2724844966903874,42.92924473370888,0.3626501152200806,0.314,0.7463680505752563,38.235740661621094
pretrained,12,20,4,spherical,l2,768,0.0044727325439453125,0.03656880185008049,3.2465610809487337,42.92475006924173,0.34979216171927563,0.3265,0.7463680505752563,38.235740661621094
pretrained,12,20,0,lloyd,centered_l2,768,0.005417346954345703,0.054680872708559036,3.3045423791360804,42.75620193420729,0.4054467382200368,0.4015,0.001020418363623321,37.15312576293945
pretrained,12,20,1,lloyd,centered_l2,768,0.005417346954345703,0.05118350312113762,3.442685727078031,42.59109810844772,0.37462380524816397,0.35,0.001020418363623321,37.15312576293945
pretrained,12,20,2,lloyd,centered_l2,768,0.005417346954345703,0.054873205721378326,3.342436915562442,42.723932708452985,0.38823411447072753,0.3965,0.001020418363623321,37.15312576293945
pretrained,12,20,3,lloyd,centered_l2,768,0.005417346954345703,0.05572574585676193,3.288259787733889,42.762658915572665,0.38661025616578526,0.3565,0.001020418363623321,37.15312576293945
pretrained,12,20,4,lloyd,centered_l2,768,0.005417346954345703,0.05575736612081528,3.3709040180146586,42.88689180019381,0.3848346126149301,0.3445,0.001020418363623321,37.15312576293945
pretrained,12,20,0,spherical,centered_l2,768,0.005417346954345703,0.06004943698644638,3.279133206612419,42.422165175394156,0.3819819603320463,0.364,0.001020418363623321,37.15312576293945
pretrained,12,20,1,spherical,centered_l2,768,0.005417346954345703,0.05945170670747757,3.3918265770854155,42.22606364835108,0.38119433204652514,0.369,0.001020418363623321,37.15312576293945
pretrained,12,20,2,spherical,centered_l2,768,0.005417346954345703,0.058355797082185745,3.3010419473577954,42.193943083727746,0.39473739323160056,0.3815,0.001020418363623321,37.15312576293945
pretrained,12,20,3,spherical,centered_l2,768,0.005417346954345703,0.059439949691295624,3.3445449408578343,42.29119286977954,0.39494291016015093,0.38,0.001020418363623321,37.15312576293945
pretrained,12,20,4,spherical,centered_l2,768,0.005417346954345703,0.05728624016046524,3.3640562104892666,42.17401464771808,0.4021641926250013,0.398,0.001020418363623321,37.15312576293945
pretrained,12,20,0,lloyd,pca100_l2,100,0.35930776596069336,0.07188554108142853,2.926414690217494,55.95139078252302,0.3798356294880678,0.3505,0.0014762028586119413,25.558698654174805
pretrained,12,20,1,lloyd,pca100_l2,100,0.35930776596069336,0.06981809437274933,2.892270342172527,55.94604853394206,0.3851511851986703,0.346,0.0014762028586119413,25.558698654174805
pretrained,12,20,2,lloyd,pca100_l2,100,0.35930776596069336,0.073301762342453,2.9290713784216056,55.72351667135969,0.37843266154655325,0.356,0.0014762028586119413,25.558698654174805
pretrained,12,20,3,lloyd,pca100_l2,100,0.35930776596069336,0.07354504615068436,2.950420086879748,56.02608444393517,0.38701659532356303,0.3745,0.0014762028586119413,25.558698654174805
pretrained,12,20,4,lloyd,pca100_l2,100,0.35930776596069336,0.06929641216993332,3.0306634373494488,55.88719436856764,0.39434744919875203,0.384,0.0014762028586119413,25.558698654174805
pretrained,12,20,0,spherical,pca100_l2,100,0.35930776596069336,0.07683683931827545,2.91468031232516,55.62840494262732,0.3886820050562696,0.3735,0.0014762028586119413,25.558698654174805
pretrained,12,20,1,spherical,pca100_l2,100,0.35930776596069336,0.07831480354070663,2.846707008472852,55.77915124971453,0.39658881529836204,0.3705,0.0014762028586119413,25.558698654174805
pretrained,12,20,2,spherical,pca100_l2,100,0.35930776596069336,0.0754714161157608,2.9589381125037226,55.26048335995327,0.3966256904862631,0.3925,0.0014762028586119413,25.558698654174805
pretrained,12,20,3,spherical,pca100_l2,100,0.35930776596069336,0.07731619477272034,2.8968316580932805,55.46747318499588,0.39536960958664,0.382,0.0014762028586119413,25.558698654174805
pretrained,12,20,4,spherical,pca100_l2,100,0.35930776596069336,0.0743287205696106,2.9653781441821456,55.259485611579166,0.3784717563732495,0.3485,0.0014762028586119413,25.558698654174805
pretrained,12,20,0,lloyd,whiten50_l2,50,0.352308988571167,0.06714271754026413,3.3726079238219326,29.126986574288853,0.4220309226498093,0.439,0.0004665164742618799,47.78717041015625
pretrained,12,20,1,lloyd,whiten50_l2,50,0.352308988571167,0.0664680153131485,3.3518374466615697,29.269798265679388,0.41734248644009836,0.4285,0.0004665164742618799,47.78717041015625
pretrained,12,20,2,lloyd,whiten50_l2,50,0.352308988571167,0.06626524776220322,3.3728224739383146,28.929803144829084,0.41610985836922165,0.416,0.0004665164742618799,47.78717041015625
pretrained,12,20,3,lloyd,whiten50_l2,50,0.352308988571167,0.06922662258148193,3.266102191964355,29.211275600857263,0.41467485245907065,0.42,0.0004665164742618799,47.78717041015625
pretrained,12,20,4,lloyd,whiten50_l2,50,0.352308988571167,0.06664814800024033,3.4095125989592487,29.15685503640935,0.42171205315307936,0.439,0.0004665164742618799,47.78717041015625
pretrained,12,20,0,spherical,whiten50_l2,50,0.352308988571167,0.06760667264461517,3.074786033386012,28.572671988384624,0.4321329833353943,0.441,0.0004665164742618799,47.78717041015625
pretrained,12,20,1,spherical,whiten50_l2,50,0.352308988571167,0.06922321021556854,3.091460118170324,28.560955016137058,0.4273295871810155,0.4525,0.0004665164742618799,47.78717041015625
pretrained,12,20,2,spherical,whiten50_l2,50,0.352308988571167,0.06846661120653152,3.1083512275033853,28.677009754694986,0.42357254432566666,0.4275,0.0004665164742618799,47.78717041015625
