model,pooling,transform,clusterer,k,seed,n_features,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,min_cluster_size,max_cluster_size,anisotropy,participation_ratio
pretrained,layer12,whiten100_l2,spherical,5,0,100,0.33872556686401367,0.016775056719779968,6.829600113854591,18.6692054366212,0.3554100673600412,0.232,368,416,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,5,1,100,0.33872556686401367,0.016437048092484474,6.870340287258171,18.509357703274297,0.36385866626137314,0.227,364,425,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,5,2,100,0.33872556686401367,0.016852635890245438,6.915150456841552,18.792697800973027,0.35395054647248114,0.234,371,446,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,5,3,100,0.33872556686401367,0.016796747222542763,6.903367490013568,18.65410096334319,0.37333382737615767,0.235,332,445,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,5,4,100,0.33872556686401367,0.01615501381456852,6.872758872637663,18.311397448432086,0.3138288661447041,0.2185,361,425,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,10,0,100,0.33872556686401367,0.02841324917972088,5.2846250794409535,17.62448456637245,0.42182444762101723,0.3385,112,263,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,10,1,100,0.33872556686401367,0.028359264135360718,5.261752030334497,17.5748827164824,0.4370524567348122,0.3495,95,273,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,10,2,100,0.33872556686401367,0.027289405465126038,5.294600013307638,17.243977029296804,0.4353443934993731,0.3655,141,252,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,10,3,100,0.33872556686401367,0.02731817029416561,5.274549751438374,17.313123083863136,0.42421325409173,0.357,107,256,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,10,4,100,0.33872556686401367,0.028044849634170532,5.174555686005602,17.68788638563668,0.443937518842702,0.3425,102,251,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,20,0,100,0.33872556686401367,0.038749709725379944,4.208210191931887,14.923193343129896,0.4549107631878221,0.478,78,138,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,20,1,100,0.33872556686401367,0.040008533746004105,4.230745257991832,15.100415444415813,0.4512389785201165,0.4625,38,136,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,20,2,100,0.33872556686401367,0.03856642544269562,4.1595375761878115,15.11277350091515,0.4521630090598552,0.4525,75,125,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,20,3,100,0.33872556686401367,0.03836153447628021,4.259712964876703,14.85503100925629,0.43874059326553083,0.4505,77,134,9.214430610882118e-05,95.43193817138672
pretrained,layer12,whiten100_l2,spherical,20,4,100,0.33872556686401367,0.0377441942691803,4.319109800500669,14.784862052841452,0.4330086390137266,0.44,74,130,9.214430610882118e-05,95.43193817138672
