pooling,transform,clusterer,k,seed,n_features,pool_time_s,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
layer12,whiten100_l2,spherical,20,0,100,9.059906005859375e-06,0.3335695266723633,0.038749709725379944,4.208210191931887,14.923193343129896,0.4549107631878221,0.478,9.214430610882118e-05,95.43193817138672
layer12,whiten100_l2,spherical,20,1,100,9.059906005859375e-06,0.3335695266723633,0.040008533746004105,4.230745257991832,15.100415444415813,0.4512389785201165,0.4625,9.214430610882118e-05,95.43193817138672
layer12,whiten100_l2,spherical,20,2,100,9.059906005859375e-06,0.3335695266723633,0.03856642544269562,4.1595375761878115,15.11277350091515,0.4521630090598552,0.4525,9.214430610882118e-05,95.43193817138672
layer12,whiten100_l2,spherical,20,3,100,9.059906005859375e-06,0.3335695266723633,0.03836153447628021,4.259712964876703,14.85503100925629,0.43874059326553083,0.4505,9.214430610882118e-05,95.43193817138672
layer12,whiten100_l2,spherical,20,4,100,9.059906005859375e-06,0.3335695266723633,0.0377441942691803,4.319109800500669,14.784862052841452,0.4330086390137266,0.44,9.214430610882118e-05,95.43193817138672
last4_mean,whiten100_l2,spherical,20,0,100,0.004364490509033203,0.33939099311828613,0.0356074720621109,4.233745660025554,14.320569408524793,0.4204901194696525,0.4185,4.6523888158844784e-05,95.56491088867188
last4_mean,whiten100_l2,spherical,20,1,100,0.004364490509033203,0.33939099311828613,0.03473048657178879,4.358813525191989,14.158678533299804,0.4206699190260364,0.4385,4.6523888158844784e-05,95.56491088867188
last4_mean,whiten100_l2,spherical,20,2,100,0.004364490509033203,0.33939099311828613,0.03566489368677139,4.390018419979114,14.285319714642029,0.4304930579646116,0.45,4.6523888158844784e-05,95.56491088867188
last4_mean,whiten100_l2,spherical,20,3,100,0.004364490509033203,0.33939099311828613,0.03559793904423714,4.224745235770632,14.129776321245934,0.43714701074792467,0.453,4.6523888158844784e-05,95.56491088867188
last4_mean,whiten100_l2,spherical,20,4,100,0.004364490509033203,0.33939099311828613,0.0339423231780529,4.355255617045949,13.928853815375092,0.3956267557050374,0.3915,4.6523888158844784e-05,95.56491088867188
last4_concat,whiten100_l2,spherical,20,0,100,0.00038433074951171875,2.3366799354553223,0.03666229173541069,4.214686337359387,14.453779760639748,0.418782983783895,0.4275,5.292107744025998e-05,95.33531188964844
last4_concat,whiten100_l2,spherical,20,1,100,0.00038433074951171875,2.3366799354553223,0.03611728549003601,4.235181512385426,14.341164360999016,0.3987849294011092,0.3945,5.292107744025998e-05,95.33531188964844
last4_concat,whiten100_l2,spherical,20,2,100,0.00038433074951171875,2.3366799354553223,0.03562827780842781,4.148986757330393,14.363982504240976,0.4144595359727911,0.412,5.292107744025998e-05,95.33531188964844
last4_concat,whiten100_l2,spherical,20,3,100,0.00038433074951171875,2.3366799354553223,0.03598572686314583,4.258890221352695,14.311610802940736,0.4289906431120055,0.4675,5.292107744025998e-05,95.33531188964844
last4_concat,whiten100_l2,spherical,20,4,100,0.00038433074951171875,2.3366799354553223,0.0358990915119648,4.2848506639062345,14.315465824436153,0.4218069751448936,0.4355,5.292107744025998e-05,95.33531188964844
