model,layer,fisher_ratio,between_var_frac
pretrained,0,0.04678812687605244,0.04469684521134477
pretrained,1,0.10300053235142304,0.09338212387970671
pretrained,2,0.12099759475264933,0.10793742584197759
pretrained,3,0.11229671292186302,0.10095931383890701
pretrained,4,0.10845109453892574,0.09784021602147215
pretrained,5,0.1151728676153034,0.10327803962948828
pretrained,6,0.10598133571402163,0.09582560961175722
pretrained,7,0.10502311595624238,0.095041555637829
pretrained,8,0.10689547245807304,0.0965723278465411
pretrained,9,0.12036225318867637,0.10743154979214262
pretrained,10,0.1652343643608997,0.1418035456339518
pretrained,11,0.1856243779268157,0.15656255166699484
pretrained,12,0.1752758584055249,0.14913593021753924
random_seed1,0,0.023172908403451545,0.022648086372429772
random_seed1,1,0.023245869278033775,0.022717774853501477
random_seed1,2,0.023165914697648785,0.022641405821747337
random_seed1,3,0.023121231012223187,0.02259872076874823
random_seed1,4,0.0229036974718507,0.022390863898975193
random_seed1,5,0.02306101915002248,0.02254119619295239
random_seed1,6,0.023181287366910528,0.022656090033239405
random_seed1,7,0.02308879427237621,0.0225677325385985
random_seed1,8,0.02275310754544139,0.022246920960277267
random_seed1,9,0.022892683338960922,0.022380337362697574
random_seed1,10,0.022728277285718055,0.022223182628760437
random_seed1,11,0.02301906674599217,0.022501112143697342
random_seed1,12,0.023428169764099154,0.022891855487522258
