model,layer,probe,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,chance,majority
pretrained,0,lda,0.5965,0.019849433241279236,0.5831571262249511,0.021458505530701725,0.05,0.057
pretrained,1,lda,0.606,0.015378556499229689,0.5953072700513772,0.0139701991649148,0.05,0.057
pretrained,2,lda,0.6100000000000001,0.016807736313971595,0.6000113315932458,0.01623271341970494,0.05,0.057
pretrained,3,lda,0.611,0.01124722187920202,0.6017565940527726,0.01067243307761293,0.05,0.057
pretrained,4,lda,0.6115,0.019078784028338926,0.6007669847131477,0.01966267093820145,0.05,0.057
pretrained,5,lda,0.615,0.018641351882307255,0.6080232904353469,0.01716953516096661,0.05,0.057
pretrained,6,lda,0.607,0.018261982367749667,0.5994700089362309,0.018833139643859294,0.05,0.057
pretrained,7,lda,0.6075,0.027294688127912366,0.6005704841986137,0.02592180108011374,0.05,0.057
pretrained,8,lda,0.607,0.02342007685726076,0.5993243236230927,0.02476629528538116,0.05,0.057
pretrained,9,lda,0.595,0.024999999999999974,0.5872592627602189,0.024021613957481078,0.05,0.057
pretrained,10,lda,0.628,0.018193405398660236,0.6183138630510558,0.01787813273052297,0.05,0.057
pretrained,11,lda,0.6369999999999999,0.015280706789936125,0.6306585410645799,0.01350824925658006,0.05,0.057
pretrained,12,lda,0.6359999999999999,0.010074720839804948,0.6270409604625852,0.007464900620451762,0.05,0.057
random_seed1,0,lda,0.3725,0.013874436925511621,0.3583719120926903,0.009292643367520477,0.05,0.057
random_seed1,1,lda,0.35900000000000004,0.013747727084867519,0.34478250303145125,0.00816045943483099,0.05,0.057
random_seed1,2,lda,0.342,0.018055470085267783,0.32962332282072027,0.013028547242678936,0.05,0.057
random_seed1,3,lda,0.3375,0.02055480479109446,0.326153404129044,0.017288953994696942,0.05,0.057
random_seed1,4,lda,0.324,0.022671568097509275,0.31373341870884897,0.021186156629215462,0.05,0.057
random_seed1,5,lda,0.31449999999999995,0.025758493744782524,0.3037808399394956,0.024165168879951224,0.05,0.057
random_seed1,6,lda,0.3065,0.014195069566578403,0.295909441613477,0.011991493928382278,0.05,0.057
random_seed1,7,lda,0.296,0.015049916943292425,0.2867489904477041,0.012179150776933169,0.05,0.057
random_seed1,8,lda,0.293,0.011768602295939816,0.28209676572374914,0.008519168178415795,0.05,0.057
random_seed1,9,lda,0.298,0.011979148550710951,0.2884869002476439,0.009668322927941342,0.05,0.057
random_seed1,10,lda,0.29450000000000004,0.01288409872672512,0.2847794101890317,0.010302525599612535,0.05,0.057
random_seed1,11,lda,0.2915,0.013095800853708794,0.2793223000694471,0.007590402112225119,0.05,0.057
random_seed1,12,lda,0.28300000000000003,0.01544344521148049,0.27164438238098443,0.011206030415800972,0.05,0.057
