model,layer,probe,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,chance,majority
pretrained,0,logreg,0.5630000000000001,0.030141333746203067,0.5522761547979329,0.029814048730902334,0.05,0.057
pretrained,1,logreg,0.5655,0.01408900280360538,0.5544264157085265,0.018714653566288784,0.05,0.057
pretrained,2,logreg,0.5875,0.00790569415042097,0.5775914112573289,0.009180683299005387,0.05,0.057
pretrained,3,logreg,0.5845,0.0036742346141747676,0.5703658554553315,0.007212744239616599,0.05,0.057
pretrained,4,logreg,0.581,0.0058309518948453055,0.5701087149396352,0.008423626340602217,0.05,0.057
pretrained,5,logreg,0.5865,0.015297058540778369,0.5752280773878394,0.01535400987762426,0.05,0.057
pretrained,6,logreg,0.584,0.02261636575579729,0.5734500483571695,0.025391580568955106,0.05,0.057
pretrained,7,logreg,0.5820000000000001,0.02642915057280501,0.5730551177881308,0.026164265119986006,0.05,0.057
pretrained,8,logreg,0.5814999999999999,0.016628289148315895,0.572141726411192,0.020139901270322648,0.05,0.057
pretrained,9,logreg,0.5805,0.02781186797034676,0.5687071697404954,0.026730554121884464,0.05,0.057
pretrained,10,logreg,0.6055,0.01691153452528778,0.5930435984985987,0.017577730251609,0.05,0.057
pretrained,11,logreg,0.6134999999999999,0.015620499351813309,0.6018857936999572,0.015657282779640253,0.05,0.057
pretrained,12,logreg,0.623,0.014352700094407294,0.6098701975119851,0.013068471966826433,0.05,0.057
random_seed1,0,logreg,0.3795,0.011224972160321834,0.3698689343414883,0.015637609978104008,0.05,0.057
random_seed1,1,logreg,0.365,0.008215838362577499,0.3574066389571304,0.00994244401705824,0.05,0.057
random_seed1,2,logreg,0.346,0.007516648189186438,0.33862353761293673,0.009583817667330184,0.05,0.057
random_seed1,3,logreg,0.34450000000000003,0.018668154702594465,0.33680923101344956,0.0201611753695953,0.05,0.057
random_seed1,4,logreg,0.3325,0.016507574019219172,0.3257963965951851,0.015406009085369807,0.05,0.057
random_seed1,5,logreg,0.3185,0.014456832294800971,0.31275259958745155,0.015212030025969537,0.05,0.057
random_seed1,6,logreg,0.3195,0.01983683442487737,0.3116319377413346,0.018342119935704622,0.05,0.057
random_seed1,7,logreg,0.30300000000000005,0.01713184169901183,0.29443365900608526,0.01524950300236116,0.05,0.057
random_seed1,8,logreg,0.305,0.01341640786499875,0.2966734063758137,0.011225166621970095,0.05,0.057
random_seed1,9,logreg,0.293,0.018801595676963174,0.2855902650724471,0.01673092317828941,0.05,0.057
random_seed1,10,logreg,0.28300000000000003,0.015280706789936115,0.2756153700997399,0.013551733767773605,0.05,0.057
random_seed1,11,logreg,0.28700000000000003,0.012389511693363858,0.27995402417255855,0.013772750326195805,0.05,0.057
random_seed1,12,logreg,0.275,0.017818529681205456,0.2669464005871248,0.016540524995086875,0.05,0.057
