model,layer,k,seed,transform,n_features,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,12,20,0,raw,768,5.7220458984375e-06,0.028814781457185745,3.212920648902254,43.89241458807272,0.3640948156520263,0.3115,0.7463680505752563,37.735260009765625
pretrained,12,20,1,raw,768,5.7220458984375e-06,0.03908344358205795,3.0701015070428737,44.068505831287766,0.3736000699533205,0.3445,0.7463680505752563,37.735260009765625
pretrained,12,20,2,raw,768,5.7220458984375e-06,0.03644649684429169,3.1216824938221857,44.3198353114058,0.3533382311417632,0.3095,0.7463680505752563,37.735260009765625
pretrained,12,20,3,raw,768,5.7220458984375e-06,0.024994954466819763,3.1281784869356053,44.297609813674015,0.3734510406306834,0.339,0.7463680505752563,37.735260009765625
pretrained,12,20,4,raw,768,5.7220458984375e-06,0.03248089179396629,3.0816737834208405,44.45920663809989,0.3768747265100749,0.336,0.7463680505752563,37.735260009765625
pretrained,12,20,0,l2,768,0.0033791065216064453,0.040653128176927567,3.178525912953285,43.21337186254477,0.36437810668420056,0.3205,0.7463680505752563,38.235740661621094
pretrained,12,20,1,l2,768,0.0033791065216064453,0.039318956434726715,3.243583615447008,43.27194331355628,0.37735722922587195,0.36,0.7463680505752563,38.235740661621094
pretrained,12,20,2,l2,768,0.0033791065216064453,0.039044998586177826,3.136868534840379,43.08395229848419,0.36829834066116063,0.3315,0.7463680505752563,38.235740661621094
pretrained,12,20,3,l2,768,0.0033791065216064453,0.0332428403198719,3.2006966061079503,43.10086689418217,0.36815161520693857,0.334,0.7463680505752563,38.235740661621094
pretrained,12,20,4,l2,768,0.0033791065216064453,0.03846995532512665,3.2027997132568222,43.19051005901971,0.3625050686849835,0.3425,0.7463680505752563,38.235740661621094
pretrained,12,20,0,centered,768,0.002474546432495117,0.028814781457185745,3.212920669202549,43.89241459268589,0.3640948156520263,0.3115,0.0010204184800386429,37.735260009765625
pretrained,12,20,1,centered,768,0.002474546432495117,0.03908344358205795,3.070101464587227,44.06850582331811,0.3736000699533205,0.3445,0.0010204184800386429,37.735260009765625
pretrained,12,20,2,centered,768,0.002474546432495117,0.03644649684429169,3.1216824445517224,44.319835306526485,0.3533382311417632,0.3095,0.0010204184800386429,37.735260009765625
pretrained,12,20,3,centered,768,0.002474546432495117,0.024994954466819763,3.1281784637253387,44.29760980901803,0.3734510406306834,0.339,0.0010204184800386429,37.735260009765625
pretrained,12,20,4,centered,768,0.002474546432495117,0.03248089551925659,3.081673769537855,44.45920663391765,0.3768747265100749,0.336,0.0010204184800386429,37.735260009765625
pretrained,12,20,0,centered_l2,768,0.006083965301513672,0.054680872708559036,3.3045423791360804,42.75620193420729,0.4054467382200368,0.4015,0.001020418363623321,37.15312576293945
pretrained,12,20,1,centered_l2,768,0.006083965301513672,0.05118350312113762,3.442685727078031,42.59109810844772,0.37462380524816397,0.35,0.001020418363623321,37.15312576293945
pretrained,12,20,2,centered_l2,768,0.006083965301513672,0.054873205721378326,3.342436915562442,42.723932708452985,0.38823411447072753,0.3965,0.001020418363623321,37.15312576293945
pretrained,12,20,3,centered_l2,768,0.006083965301513672,0.05572574585676193,3.288259787733889,42.762658915572665,0.38661025616578526,0.3565,0.001020418363623321,37.15312576293945
pretrained,12,20,4,centered_l2,768,0.006083965301513672,0.05575736612081528,3.3709040180146586,42.88689180019381,0.3848346126149301,0.3445,0.001020418363623321,37.15312576293945
pretrained,12,20,0,drop_pc1_l2,768,0.35085129737854004,0.05310646817088127,3.489953872697093,30.618750310388254,0.3395592073298025,0.351,0.0014004602562636137,58.11911392211914
pretrained,12,20,1,drop_pc1_l2,768,0.35085129737854004,0.05572885274887085,3.540306472327051,30.501373836230236,0.3192510861215582,0.326,0.0014004602562636137,58.11911392211914
pretrained,12,20,2,drop_pc1_l2,768,0.35085129737854004,0.0553264394402504,3.5744438316014415,30.48795122688433,0.3162601879196544,0.3225,0.0014004602562636137,58.11911392211914
pretrained,12,20,3,drop_pc1_l2,768,0.35085129737854004,0.054336775094270706,3.559123442466361,30.357654106508395,0.32844275068724893,0.3315,0.0014004602562636137,58.11911392211914
